Rating,Review Text,Review Date
5 stars,A great car sharing with many types of cars,a month ago
4 stars,I was thrilled to drive an EV Hyundai Kona near my flat. Interior was cleaned maybe the car is still new. But the exterior seemed dirty probably due to the white colour which easily extracts dirt. Overall is good. Will continue to support GetGo for the use of this EV.,a month ago
5 stars,GetGo is convenient to book and easy to use the application. And there are quite a lot of cars near by for easy booking. And most of the car conditions are quite good to drive. And if there is any feedback,a month ago
5 stars,GetGo always there when I need it. Very convenient. For a mother of 3,a month ago
5 stars,One of the best Car-Sharing company that I have tried out so far,2 months ago
4 stars,The flexibility of renting cars in many choices. Booking in advance which provides worry free travel. Best part is GetGo have a large fleet in the market as such it’s convenient to book anywhere and anytime.,a month ago
5 stars,Very convenient and easy rental with Getgo car. Our family have been a loyal customers for the past 5 months and it has helped us greatly to safe time and cost. …,a month ago
1 star,As a frequent GetGo customer,a month ago
5 stars,I recently had the pleasure of using GetGo for my car-sharing needs,a month ago
5 stars,Great Car-Sharing service! Able to book a car efficiently from the app,2 months ago
5 stars,Very convenient on getting a vehicle.  In my vicinity,2 months ago
5 stars,Firstly,2 months ago
5 stars,I wanted to take a moment to express my appreciation for the outstanding service I received during my recent experience with GetGo Car Sharing. The entire process,2 months ago
5 stars,I’ve been using GetGo service for about 3 months and I would say it really convenient. Hassle free car rental,a month ago
4 stars,I'm glad there are getgo cars in my area. I wonder if they will provide their services in Tengah in the near future.. I've used Getgo Cars several times and have been pleased with their services overall,2 months ago
5 stars,I wanted to take a moment to express my gratitude for the exceptional service and experiences I've had with GetGo over the past year. …,a month ago
5 stars,Using GetGo when I get my license,a month ago
4 stars,Pros- Conveniently located just under my block,2 months ago
5 stars,There are various share car application in the market but around all,a month ago
5 stars,I've been a GetGo user for over 2 year. Found it so convenient & useful - location of cars & type of car available. If I want a specific car especially for long hires,a month ago
5 stars,Booking and driving a GetGo car has been very convenient. I love the easy to use app and how it allows me to select my booking in 15min blocks. The collection and returning of the car is also very easy. Just a tap on the app. I like how the …,2 months ago
4 stars,Enjoyed the range and fleet  of cars Getgo offers at My area. Helps a lot when I need to run short errands . And the provision for extension of 30minutes is a great feature.,a month ago
4 stars,"So far the experience has been good though some of the cars especially Honda may need a bit of upgrade on their audio system. Some cars need a wash too.
It is rather easy to work around the car which is great and the fleet size is …",a month ago
4 stars,It's convenient to have a car to drive when you need it. For peak hour/day usage you just need to plan a bit to reserve the car earlier. Cars are generally clean though some car models may need more regular servicing like Sienta or Tivoli SL plates. Current fav drive is the Suzuki Swift.,2 months ago
5 stars,I wanted to take a moment to share my recent experience with GetGo Car Sharing,a month ago
4 stars,getgo car sharing one of the best among the 3 company. no hassle in pump petrol. just use their petrol card. straight  by mileage charge. no need headache to pump how much to return 1/4 tank.,a month ago
5 stars,Been a GetGo user since the beta phase and when they started operations in February 2021. GetGo has certainly come a long way with their fleet expansion,a month ago
5 stars,Definitely the best car sharing service in Singapore. Super convenient and accessible. Has a wide range of cars for different needs. The app is intuitive and provides a seamless user experience. Love to drive their new EVs!,a week ago
4 stars,It is convenient to book and get the cars. But not so easy during peak hours esp on weekends. App is easy to use and their customer service never replies late. Cleanliness and smell of the car is not so good. I mean… GetGo can do better for this. Other than that… overall okay for me…,a month ago
4 stars,Have been using GetGo for almost 2 years. Lots of convenient locations to pick up vehicle and multiple types of vehicles to choose from,a month ago
4 stars,The customer service is really quick and the app is relatively easy to use & convenient. Affordable too especially off peak hours. Cars cleanliness is the only thing that is out of their control and based on the consideration of other users. Other than that its a good app.,a month ago
1 star,Got charged $1300 for a minor scratch. By the way,3 weeks ago
5 stars,GetGo is a very good car sharing platform. From registration as a user,a month ago
4 stars,"Pros:

Convenience",a month ago
4 stars,Have been using the platform for more than 2 years. Easy access with many vehicles in near vicinity. Condition of some vehicles can be improved. Would be helpful if users can provide feedback after use and condition can be viewed by next …,2 months ago
4 stars,GetGo is a very convenient car riding service in Singapore. The cars are always in safe driving conditions and easy to collect. The customer service have always been good and understanding. The cleanliness is sometimes good but sometimes …,a month ago
5 stars,I had a great experience with GET GO. The ease of reserving & picking up the car was impressive. The entire process was smooth. The vehicle was in excellent condition,a month ago
4 stars,GetGo is very user friendly. Their app is a bit glitch at times but works most of the time. Once you use it you will figure out to get it working. Anyway the platform has many cars island wide. One can book quite early and if you decide to …,a month ago
5 stars,Life has been fantastic since me and my family have started using GetGo. Great way for transport,2 months ago
1 star,"This is basically a -100 stars company. No communication and reply from them at all.
I had an accident because a car in front suddenly swerved in recklessly and i …",3 months ago
5 stars,It's very convenient to book a car from the GetGo app. User-friendly as well as flexible. Moreover,a month ago
5 stars,Getgo has been my go to transportation mode on a daily basis,2 months ago
5 stars,Getgo carsharing has made getting from place to place convenient. Their vehicles are located near my place and have a variety of vehicles to meet different needs. Definitely one of the top few options to consider when travelling from place to place.,2 months ago
5 stars,I had booked a car from get-go,2 months ago
5 stars,I had the pleasure of engaging with GetGo Carsharing multiple times,a month ago
5 stars,GetGo is a game-changer in the car-sharing scene! The app's user-friendly interface makes booking a breeze,a month ago
4 stars,Life has been really easy ever since GetGo was introduced. Running my errands is much more convenient and faster. Really happy! 🫶🏼 …,a month ago
5 stars,My first time using GetGo for our transportation today was a breeze. As i've seen there's a lot of negative/one star reviews regarding the cars sharing experience,7 months ago
5 stars,Easy to book. Have different car models to select. Pricing are reasonable. Always have promo code to use. 👍 …,2 months ago
5 stars,Ease of usage and straightforward app interface. Plenty of options nearby to my location. Recommended for car-less people. Cars usually quite well maintained. Just need to take note to report any damages before collection of car.,a month ago
4 stars,Great car sharing platform and pretty affordable. It is user friendly and not a hassle at all when booking cars. However,a month ago
5 stars,The Getgo carsharing app & its svcs is really good & stupendous. The svc is good,a month ago
5 stars,Comparing to the 3 other major car sharing platform,a month ago
5 stars,Having used GetGo car sharing really helps traveling with my family of 5 much easier. Easy to book and have great numbers of different cars to try. Love the 7 seater as can bring more along our outing! Love the reward for helping to refuel the car petrol too!,a month ago
5 stars,What i love about getgo is the convenience of booking a car! And the app is super user friendly! But i hope they can work on giving more perks/discounts/promo codes for regular users 😊😊😊 maybe membership or plans kinda thing. Keep it up fellas! …,a month ago
5 stars,GetGo is an easy car sharing/rental service for me. The car availability covers most of the area and various type of car. Cheaper than grab if you need short family trip.. User friendly app too!! Recommended!,a month ago
3 stars,Easy to use app for booking,a month ago
5 stars,Overall,a month ago
3 stars,GetGo has its convenience - no monthly fees,a month ago
4 stars,It is an excellent service for when you need to go to many places as it is very convenient and priced reasonably. The downside of the service however is that the car that you get might sometimes be dirty/smelly or not in the best condition …,a month ago
4 stars,The GetGo app is incredibly user-friendly. It allowed me to easily locate and reserve a car within minutes. The interface is intuitive,2 months ago
4 stars,I am a frequent user at Yishun area. Many of the reviews informed the cars are mostly damaged,8 months ago
5 stars,Convenient point A to A car sharing service. Cars are generally clean though sometimes it may get dirty. Good for a quick trip to the mall or market to get your daily necessities. Also you get rewarded with discounts for your next trip if you refuel the car when the tank is left with 1/4 full.,a month ago
4 stars,I truly enjoyed booking and using GetGo car. As for me,2 months ago
5 stars,GetGo is really convenient and fuss free in terms of renting the car. There's many car models to choose from and also many locations island wide. I like that GetGo vehicles are generally clean and in good condition as well. I enjoy renting GetGo cars to practise driving and run errants. Would recommend this to friends! :),2 months ago
5 stars,Very convenient car sharing platform. And looking forward for more car beside our area.  Especially for the EV car! Very good experience with GetGo,a month ago
4 stars,It's easy to look for,a month ago
5 stars,I like that there are more getgo cars in my neighbourhood,a month ago
5 stars,GetGo is my preferred point A to A car sharing service. I really like that it doesn’t require any deposit,2 months ago
5 stars,Best complement to the amazing public transportation network in Singapore. Wide variety of cars which are well maintained. The app works seamlessly every time and the customer service team is very responsive. Can only recommend as a much wiser alternative to car ownership.,a month ago
