Rating,Review Text,Review Date
5 stars,A great car sharing with many types of cars,a month ago
5 stars,GetGo always there when I need it. Very convenient. For a mother of 3,a month ago
5 stars,One of the best Car-Sharing company that I have tried out so far,2 months ago
5 stars,Very convenient and easy rental with Getgo car. Our family have been a loyal customers for the past 5 months and it has helped us greatly to safe time and cost. …,a month ago
1 star,As a frequent GetGo customer,a month ago
4 stars,I was thrilled to drive an EV Hyundai Kona near my flat. Interior was cleaned maybe the car is still new. But the exterior seemed dirty probably due to the white colour which easily extracts dirt. Overall is good. Will continue to support GetGo for the use of this EV.,a month ago
5 stars,GetGo is convenient to book and easy to use the application. And there are quite a lot of cars near by for easy booking. And most of the car conditions are quite good to drive. And if there is any feedback,a month ago
5 stars,I recently had the pleasure of using GetGo for my car-sharing needs,a month ago
5 stars,Great Car-Sharing service! Able to book a car efficiently from the app,2 months ago
5 stars,Very convenient on getting a vehicle.  In my vicinity,2 months ago
5 stars,Firstly,2 months ago
5 stars,I wanted to take a moment to express my appreciation for the outstanding service I received during my recent experience with GetGo Car Sharing. The entire process,2 months ago
4 stars,The flexibility of renting cars in many choices. Booking in advance which provides worry free travel. Best part is GetGo have a large fleet in the market as such it’s convenient to book anywhere and anytime.,a month ago
5 stars,I’ve been using GetGo service for about 3 months and I would say it really convenient. Hassle free car rental,a month ago
4 stars,I'm glad there are getgo cars in my area. I wonder if they will provide their services in Tengah in the near future.. I've used Getgo Cars several times and have been pleased with their services overall,2 months ago
5 stars,I wanted to take a moment to express my gratitude for the exceptional service and experiences I've had with GetGo over the past year. …,a month ago
5 stars,Using GetGo when I get my license,2 months ago
4 stars,Pros- Conveniently located just under my block,2 months ago
5 stars,There are various share car application in the market but around all,a month ago
5 stars,I've been a GetGo user for over 2 year. Found it so convenient & useful - location of cars & type of car available. If I want a specific car especially for long hires,a month ago
5 stars,Booking and driving a GetGo car has been very convenient. I love the easy to use app and how it allows me to select my booking in 15min blocks. The collection and returning of the car is also very easy. Just a tap on the app. I like how the …,2 months ago
4 stars,Enjoyed the range and fleet  of cars Getgo offers at My area. Helps a lot when I need to run short errands . And the provision for extension of 30minutes is a great feature.,a month ago
4 stars,"So far the experience has been good though some of the cars especially Honda may need a bit of upgrade on their audio system. Some cars need a wash too.
It is rather easy to work around the car which is great and the fleet size is …",a month ago
4 stars,It's convenient to have a car to drive when you need it. For peak hour/day usage you just need to plan a bit to reserve the car earlier. Cars are generally clean though some car models may need more regular servicing like Sienta or Tivoli SL plates. Current fav drive is the Suzuki Swift.,2 months ago
5 stars,I wanted to take a moment to share my recent experience with GetGo Car Sharing,a month ago
5 stars,Been a GetGo user since the beta phase and when they started operations in February 2021. GetGo has certainly come a long way with their fleet expansion,a month ago
5 stars,Definitely the best car sharing service in Singapore. Super convenient and accessible. Has a wide range of cars for different needs. The app is intuitive and provides a seamless user experience. Love to drive their new EVs!,2 weeks ago
4 stars,It is convenient to book and get the cars. But not so easy during peak hours esp on weekends. App is easy to use and their customer service never replies late. Cleanliness and smell of the car is not so good. I mean… GetGo can do better for this. Other than that… overall okay for me…,a month ago
4 stars,Have been using GetGo for almost 2 years. Lots of convenient locations to pick up vehicle and multiple types of vehicles to choose from,a month ago
4 stars,The customer service is really quick and the app is relatively easy to use & convenient. Affordable too especially off peak hours. Cars cleanliness is the only thing that is out of their control and based on the consideration of other users. Other than that its a good app.,a month ago
1 star,Got charged $1300 for a minor scratch. By the way,4 weeks ago
