,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,POST_DATE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1240022&DL=2885&utm_content=SLeligible,Mercedes-Benz,80800,22520,29-Feb-2016,121000,2015,1202,Auto,51892,26/01/2024,52959,67327,54920,762,1991,1680,2,Luxury Sedan,06-Jan-2024
1,https://www.sgcarmart.com/used_cars/info.php?ID=1255264&DL=4405,Peugeot,18000,15330,13-Nov-2014,,2014,1144,Auto,10880,26/01/2024,24683,11557,63990,277,1560,1520,2,,11-Dec-2023
2,https://www.sgcarmart.com/used_cars/info.php?ID=1250584&DL=4502&utm_content=SLeligible,Renault,130800,20890,28-Jun-2019,29000,2018,976,Auto,45808,26/01/2024,30800,35120,35906,1976,1798,1430,2,Sports Car,22-Nov-2023
3,https://www.sgcarmart.com/used_cars/info.php?ID=1255450&DL=3547&utm_content=SLeligible,Porsche,196800,39190,28-Dec-2017,,2017,1194,Auto,77147,26/01/2024,63495,86291,53711,1126,1984,1845,3,SUV,12-Dec-2023
4,https://www.sgcarmart.com/used_cars/info.php?ID=1248813&DL=2303&utm_content=SLeligible,Toyota,222800,29500,12-Nov-2020,30500,2019,1792,Auto,60821,26/01/2024,37576,44607,40301,2466,2493,1920,2,MPV,13-Jan-2024
5,https://www.sgcarmart.com/used_cars/info.php?ID=1258847&DL=3318&utm_content=SLeligible,Audi,98800,15160,03-Aug-2010,233000,2010,1672,Auto,21870,26/01/2024,39681,39681,33568,2375,1984,1615,3,Luxury Sedan,06-Jan-2024
6,https://www.sgcarmart.com/used_cars/info.php?ID=1258733&DL=2875&utm_content=SLeligible,Audi,234800,37730,27-Nov-2018,93000,2018,2380,Auto,88170,26/01/2024,73589,104461,31101,1460,2995,2165,3,,26-Dec-2023
7,https://www.sgcarmart.com/used_cars/info.php?ID=1260031&DL=4405,Mazda,88000,15660,29-Jan-2019,120000,2018,1210,Auto,31136,26/01/2024,19030,19030,33689,1827,1998,1515,2,Luxury Sedan,01-Jan-2024
8,https://www.sgcarmart.com/used_cars/info.php?ID=1254962&DL=4579&utm_content=SLeligible,Audi,87800,13740,17-Jun-2010,123000,2010,1672,Auto,21456,26/01/2024,42472,42472,33568,2311,1984,1550,5,Sports Car,09-Dec-2023
9,https://www.sgcarmart.com/used_cars/info.php?ID=1261583&DL=2303,Mercedes-Benz,124800,18870,16-Dec-2019,38800,2019,740,Auto,39705,26/01/2024,25170,27238,32725,1834,1595,1435,1,SUV,24-Jan-2024
10,https://www.sgcarmart.com/used_cars/info.php?ID=1237667&DL=3541&utm_content=SLeligible,Mercedes-Benz,59800,21330,06-Jan-2016,,2015,740,Auto,31315,26/01/2024,35428,36600,57501,395,1595,1425,3,Luxury Sedan,27-Dec-2023
